Feature,Importance
Acquarone Alessandro_errori_ricezione,0.0
Acquarone Alessandro_ricezione_negativa,0.0
Acquarone Alessandro_ricezione_perfetta,0.0
Acquarone Alessandro_ricezione_perfetta_perc,0.0
Acquarone Alessandro_ricezione_efficienza,0.0
Acquarone Alessandro_attacco_totale,0.0
Acquarone Alessandro_errori_attacco,0.0
Acquarone Alessandro_attacco_murati,0.0
Acquarone Alessandro_attacco_perfetti,0.0
Acquarone Alessandro_attacco_perfetti_perc,0.0
Acquarone Alessandro_attacco_efficienza,0.0
Acquarone Alessandro_muro_perfetti,0.0
Acquarone Alessandro_muro_per_set,0.0
Garcia Fernandez Gabi_set_giocati,0.0
Kozamernik Jan_ace,0.0
Kozamernik Jan_errori_battuta,0.0
Kozamernik Jan_ace_per_set,0.0
Kozamernik Jan_battuta_efficienza,0.0
Laurenzano Gabriele_ricezione_negativa,0.0
Laurenzano Gabriele_ricezione_perfetta,0.0
Laurenzano Gabriele_ricezione_perfetta_perc,0.0
Laurenzano Gabriele_ricezione_efficienza,0.0
Laurenzano Gabriele_attacco_totale,0.0
Laurenzano Gabriele_errori_attacco,0.0
Laurenzano Gabriele_attacco_murati,0.0
Laurenzano Gabriele_attacco_perfetti,0.0
Laurenzano Gabriele_attacco_perfetti_perc,0.0
Laurenzano Gabriele_attacco_efficienza,0.0
Laurenzano Gabriele_muro_perfetti,0.0
Laurenzano Gabriele_muro_per_set,0.0
Lavia Daniele_set_giocati,0.0
Lavia Daniele_punti_totali,0.0
Lavia Daniele_punti_bp,0.0
Lavia Daniele_battuta_totale,0.0
Lavia Daniele_ace,0.0
Lavia Daniele_errori_battuta,0.0
Lavia Daniele_ace_per_set,0.0
Lavia Daniele_battuta_efficienza,0.0
Lavia Daniele_ricezione_totale,0.0
Laurenzano Gabriele_errori_ricezione,0.0
Laurenzano Gabriele_ricezione_totale,0.0
Laurenzano Gabriele_battuta_efficienza,0.0
Kozamernik Jan_attacco_perfetti,0.0
Kozamernik Jan_ricezione_totale,0.0
Kozamernik Jan_errori_ricezione,0.0
